,name,track_id,album,artist,artist_id,length,popularity,type,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,key,release_year,release_month,followers,genre
421,Overkill - Acoustic Version,spotify:track:5bbgiWfaHG6Vruyg3OWQuU,Man @ Work,Colin Hay,spotify:artist:5mxB08ktCukEhGMg2YZeEv,3.79,56,track,0,0.843,0.725,0.259,2.63e-06,0.112,-10.959,0.0382,133.849,4,0.2,2,2003,7,95444,neo mellow
422,The World Needs Heroes,spotify:track:580vbMLidu7wyOenxRXxU6,The World Needs Heroes,The Yogscast,spotify:artist:2kQ4uyd7WPQI9xcmeZbI0G,2.9419333333333335,22,track,0,0.00104,0.769,0.392,0.0,0.21,-12.782,0.148,154.961,4,0.266,9,2016,5,41768,antiviral pop
423,Dwarves vs Leprechauns,spotify:track:4E1yGqwhqdgHeXqfVasaeC,Dwarves vs Leprechauns,The Yogscast,spotify:artist:2kQ4uyd7WPQI9xcmeZbI0G,1.9911166666666666,25,track,1,0.112,0.698,0.582,0.0,0.333,-6.116,0.509,126.496,4,0.711,2,2016,3,41768,antiviral pop
424,Welcome to Yoglabs,spotify:track:7sc23DJVuv8ejudurM22zN,Welcome to Yoglabs,The Yogscast,spotify:artist:2kQ4uyd7WPQI9xcmeZbI0G,3.216,33,track,0,0.0454,0.868,0.476,0.0,0.0746,-12.008,0.251,125.102,4,0.697,2,2015,11,41768,antiviral pop
425,Best Friends (From Now On),spotify:track:14rJJFmhMWQ1fvwXQ3XsKJ,Best Friends (From Now On),The Yogscast,spotify:artist:2kQ4uyd7WPQI9xcmeZbI0G,2.2285666666666666,30,track,0,0.0411,0.556,0.982,7.56e-05,0.152,-5.26,0.293,140.043,4,0.47,11,2013,6,41768,antiviral pop
426,Diggy Diggy Hole,spotify:track:5AKnUqag3WeX8KFo0L5HzJ,Diggy Diggy Hole,The Yogscast,spotify:artist:2kQ4uyd7WPQI9xcmeZbI0G,4.112166666666667,53,track,0,0.221,0.401,0.847,0.000551,0.09,-6.216,0.0518,91.024,3,0.559,8,2014,7,41768,antiviral pop
427,"Danger Zone - From ""Top Gun"" Original Soundtrack",spotify:track:34x6hEJgGAOQvmlMql5Ige,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",Kenny Loggins,spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW,3.58555,79,track,0,0.241,0.544,0.897,0.0,0.13,-6.056,0.0471,157.17,4,0.647,3,1997,3,860863,album rock
428,Footloose,spotify:track:6W2VbtvMrDXm5vYeB7amkO,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",Kenny Loggins,spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW,3.6784333333333334,73,track,0,0.0819,0.546,0.895,1.42e-05,0.0768,-7.189,0.0579,174.089,4,0.494,9,1997,3,860863,album rock
429,Big Girl,spotify:track:7C9hoI5mrE3vz2CeqKEWBp,Big Girl,Sips,spotify:artist:0wsWPItHvmtDAx0hJDBwLY,2.2333333333333334,0,track,0,0.182,0.551,0.607,6.38e-06,0.302,-8.135,0.048,174.041,4,0.859,5,2013,11,2165,
430,Electric de Chocobo,spotify:track:5oSUhNX2GNcTKjpBvy3Ctu,"Remastered Tracks: Final Fantasy VII, Vol. II",Sean Schafianski,spotify:artist:5fmLdsqNwxIS9Z32uUk9i7,3.3031166666666665,0,track,0,0.00893,0.591,0.66,0.786,0.0691,-13.021,0.0339,162.008,4,0.973,0,2013,12,7388,scorecore
